"game_id","team","opponent","h/a","l8_sa","l8_sog","l8_miss","l8_blocks","l4_sa","l4_sog","l4_miss","l4_blocks","ha_sa","ha_sog","ha_miss","ha_blocks","l8_sa_ag","l8_sog_ag","l8_miss_ag","l8_blocks_ag","l4_sa_ag","l4_sog_ag","l4_miss_ag","l4_blocks_ag","ha_sa_ag","ha_sog_ag","ha_miss_ag","ha_blocks_ag","is_b2b","opp_is_b2b","true_sog","sog_trend","sog_ag_trend","home","off_def_gap","pace","shot_perc","shot_perc_ag"
2025020213,"TOR","UTA","away",57.25,29,12.5,15.75,55,30,12.75,12.25,59.25,30,12,17.25,54.25,26.5,11.375,16.375,50,24.5,12.25,13.25,53,25.2,11.2,16.6,0,1,19,1,-2,0,2.5,55.5,0.506550218340611,0.488479262672811
2025020214,"WSH","STL","away",64.625,29.25,16.25,19.125,58.25,23.5,15,19.75,60,27.6,15,17.4,51.5,26,11.375,14.125,55.25,25.25,13.25,16.75,48.875,23.5,12,13.375,0,0,32,-5.75,-0.75,0,3.25,55.25,0.452611218568665,0.504854368932039
2025020215,"CGY","CBJ","away",63.5,30.875,12,20.625,56.75,28.5,10.25,18,58.1111111111111,26,13.1111111111111,19,62.75,32.75,15.125,14.875,68.75,38,14.5,16.25,64.5,32.1666666666667,16.5,15.8333333333333,0,0,26,-2.375,5.25,0,-1.875,63.625,0.486220472440945,0.52191235059761
2025020216,"VAN","CHI","away",58.25,26.125,16.5,15.625,56,26.25,16,13.75,54.5555555555556,25,15.2222222222222,14.3333333333333,60,29.5,16.625,13.875,55.5,27.5,13.75,14.25,60.3333333333333,28.1666666666667,18,14.1666666666667,0,0,45,0.125,-2,0,-3.375,55.625,0.448497854077253,0.491666666666667
2025020217,"SEA","SJS","away",48.625,22.375,11.875,14.375,46.25,20.25,12.25,13.75,54.6666666666667,25.5,12,17.1666666666667,63.625,29.5,15.875,18.25,61.75,29.75,13.5,18.5,66.375,33,15.5,17.875,0,0,30,-2.125,0.25,0,-7.125,51.875,0.460154241645244,0.463654223968566
2025020218,"OTT","BOS","home",56.5,27.75,13.375,15.375,57.25,25.5,17.25,14.5,59.5714285714286,28.8571428571429,14.4285714285714,16.2857142857143,63.25,30.875,16,16.375,66,34.5,16,15.5,70.5,32.5,17.1666666666667,20.8333333333333,0,0,22,-2.25,3.625,1,-3.125,58.625,0.491150442477876,0.488142292490119
2025020219,"STL","BUF","home",57.375,27.875,13.875,15.625,59.5,31,14.5,14,52.5,24.375,13.625,14.5,67.125,31.5,16.5,19.125,71.5,33,18.25,20.25,58.75,27,16.25,15.5,1,0,17,3.125,1.5,1,-3.625,59.375,0.485838779956427,0.46927374301676
2025020220,"MTL","NJD","home",52.125,25.375,13.5,13.25,49.25,23,14.25,12,53,25.8333333333333,13.6666666666667,13.5,64.875,30,13.875,21,69.25,35.75,13.25,20.25,66.5,31.375,14.25,20.875,0,0,19,-2.375,5.75,1,-4.625,55.375,0.486810551558753,0.46242774566474
2025020222,"MIN","CAR","home",67.875,30.75,17.5,19.625,62.5,28.75,18,15.75,67.125,32.625,17.25,17.25,59.625,31.25,13.5,14.875,56.5,27.75,14,14.75,55.875,28.5,12.875,14.5,0,0,24,-2,-3.5,1,-0.5,62,0.453038674033149,0.524109014675052
2025020221,"WSH","PIT","home",63.875,27.625,16.5,19.75,62.25,28.25,14.25,19.75,69,30.25,16.75,22,65.125,31.375,17.375,16.375,56.5,29.5,13.75,13.25,62.3333333333333,29.4444444444444,15.2222222222222,17.6666666666667,1,0,30,0.625,-1.875,1,-3.75,59,0.432485322896282,0.481765834932821
2025020223,"PHI","NSH","home",55.625,27.625,12.875,15.125,59.5,27.75,14.25,17.5,52.2222222222222,24,13.5555555555556,14.6666666666667,58.25,30.5,14.875,12.875,56.25,28.5,14.75,13,54.1666666666667,26.1666666666667,15.5,12.5,0,0,26,0.125,-2,1,-2.875,58.125,0.496629213483146,0.523605150214592
